"","ID","Genotype","Intensity","mean"
"1","BP1","Fmr1 KO",30,343.161263178295
"2","BP1","Fmr1 KO",40,222.968501586817
"3","BP1","Fmr1 KO",50,196.717127103106
"4","BP1","Fmr1 KO",60,167.26759869281
"5","BP1","Fmr1 KO",70,132.72055021645
"6","BP1","Fmr1 KO",80,126.165316129032
"7","BP2","WT",30,268.012124396713
"8","BP2","WT",40,234.357844504785
"9","BP2","WT",50,214.665323516237
"10","BP2","WT",60,202.730369410706
"11","BP2","WT",70,177.333033233315
"12","BP2","WT",80,144.714591489362
"13","BP3","Fmr1 KO",30,451.318048202614
"14","BP3","Fmr1 KO",40,408.320173276164
"15","BP3","Fmr1 KO",50,412.760039801578
"16","BP3","Fmr1 KO",60,380.502728949586
"17","BP3","Fmr1 KO",70,370.601794538462
"18","BP3","Fmr1 KO",80,360.86494
"19","BP4","WT",30,299.333864096516
"20","BP4","WT",40,267.153497868031
"21","BP4","WT",50,245.75112007484
"22","BP4","WT",60,232.261904844664
"23","BP4","WT",70,219.880610209847
"24","BP4","WT",80,194.277654589372
"25","BP5","Fmr1 KO",30,402.46623980171
"26","BP5","Fmr1 KO",40,340.667072720005
"27","BP5","Fmr1 KO",50,338.866483022477
"28","BP5","Fmr1 KO",60,337.170407230769
"29","BP5","Fmr1 KO",70,319.985639482458
"30","BP5","Fmr1 KO",80,298.625597609562
"31","BP6","WT",30,295.302626081081
"32","BP6","WT",40,215.199640221002
"33","BP6","WT",50,201.57742754717
"34","BP6","WT",60,181.680299545455
"35","BP6","WT",70,168.17545081761
"36","BP6","WT",80,117.507018796992
"37","GP 1","Tsc2 +/-",30,310.319245727956
"38","GP 1","Tsc2 +/-",40,234.73655938577
"39","GP 1","Tsc2 +/-",50,207.570830385036
"40","GP 1","Tsc2 +/-",60,199.713223225053
"41","GP 1","Tsc2 +/-",70,176.469864583333
"42","GP 1","Tsc2 +/-",80,130.892372180451
"43","GP 2","WT",40,330.296700671206
"44","GP 2","WT",50,334.787661712881
"45","GP 2","WT",60,339.817307773109
"46","GP 2","WT",70,320.383838563043
"47","GP 2","WT",80,326.714072727273
"48","LP1","Fmr1 KO",30,436.502724715447
"49","LP1","Fmr1 KO",40,344.71495698702
"50","LP1","Fmr1 KO",50,309.721743470149
"51","LP1","Fmr1 KO",60,295.455406885759
"52","LP1","Fmr1 KO",70,292.092794347547
"53","LP1","Fmr1 KO",80,304.317376744186
"54","LP2","WT",30,378.259757030457
"55","LP2","WT",40,287.375317863161
"56","LP2","WT",50,283.190121676229
"57","LP2","WT",60,256.800267262144
"58","LP2","WT",70,219.250878227408
"59","LP2","WT",80,134.831023809524
"60","RP 1","WT",30,302.138201004476
"61","RP 1","WT",40,276.959210973863
"62","RP 1","WT",50,272.768791188289
"63","RP 1","WT",60,252.191077601106
"64","RP 1","WT",70,245.831583333333
"65","RP 1","WT",80,236.466075757576
"66","RP 2","Tsc2 +/-",30,264.40338184422
"67","RP 2","Tsc2 +/-",40,222.567903980309
"68","RP 2","Tsc2 +/-",50,226.469188722775
"69","RP 2","Tsc2 +/-",60,226.817406383713
"70","RP 2","Tsc2 +/-",70,211.060308103592
"71","RP 2","Tsc2 +/-",80,166.710685214626
"72","RP 3","Tsc2 +/-",40,321.929738506261
"73","RP 3","Tsc2 +/-",50,308.511955741627
"74","RP 3","Tsc2 +/-",60,297.365072320979
"75","RP 3","Tsc2 +/-",70,276.762070816085
"76","RP 3","Tsc2 +/-",80,291.574107806691
"77","RP 4","WT",30,335.934203819012
"78","RP 4","WT",40,313.840618974233
"79","RP 4","WT",50,324.888973893217
"80","RP 4","WT",60,325.856657020508
"81","RP 4","WT",70,317.181480950918
"82","RP 4","WT",80,320.298469314079
"83","RP 5","Tsc2 +/-",30,288.193746501901
"84","RP 5","Tsc2 +/-",40,280.370256244988
"85","RP 5","Tsc2 +/-",50,274.181911823683
"86","RP 5","Tsc2 +/-",60,254.812536237333
"87","RP 5","Tsc2 +/-",70,234.057364521927
"88","RP 5","Tsc2 +/-",80,201.125176923077
"89","RP 6","WT",30,339.456013930348
"90","RP 6","WT",40,312.048231102644
"91","RP 6","WT",50,297.362482438238
"92","RP 6","WT",60,287.351801036297
"93","RP 6","WT",70,299.949515409111
"94","RP 6","WT",80,279.251729166667
